5000 10000
0 3895 1263
1 3895 1263
0 1107 4221
1 1107 4221
0 450 4052
1 450 4052
0 4401 811
0 318 1119
0 3220 4052
1 4401 811
0 4429 4804
0 4741 914
1 4741 914
0 1881 4621
0 333 1784
0 284 546
0 2454 3146
0 532 2667
0 1058 4486
0 1976 680
0 3865 1972
0 4533 1864
1 532 2667
0 1502 3273
0 359 2610
0 4862 1704
1 4533 1864
0 2725 3482
0 1513 1114
1 284 546
0 3288 4929
1 3865 1972
0 1460 4136
0 1634 1564
0 1745 1240
0 2495 2972
0 3641 282
0 532 2296
1 1460 4136
0 1785 3354
0 4980 1152
0 4340 2226
1 1513 1114
0 4452 3577
0 2754 1730
0 1342 1778
0 3714 4348
0 4937 482
0 4496 4639
0 609 350
0 4666 2189
0 281 2722
0 2285 2949
0 1146 3682
1 1058 4486
0 1898 3105
1 333 1784
0 1495 4655
1 4496 4639
0 4737 4338
1 1502 3273
0 4678 3105
1 1881 4621
0 596 1323
0 662 1916
0 3289 2447
1 1745 1240
1 2725 3482
0 2065 560
0 3434 3962
0 456 3130
0 516 2238
0 2705 2200
0 1603 1719
1 2754 1730
0 3350 3560
0 1580 889
1 1976 680
1 532 2296
0 3136 1845
1 596 1323
1 3641 282
0 2945 2502
0 534 2896
0 1932 4460
0 3376 3477
1 2945 2502
0 3356 2357
1 281 2722
0 326 2448
1 1603 1719
0 312 3454
1 534 2896
0 3492 715
1 3289 2447
0 4767 3776
1 4340 2226
0 2712 3533
0 2952 4247
0 404 987
0 2868 3414
0 3697 4526
0 994 3451
0 1955 1196
0 250 2766
1 4666 2189
0 4094 2024
0 469 392
0 4721 3359
0 1239 1636
0 3752 2719
0 724 4023
1 994 3451
0 2145 1642
0 2196 2879
0 2832 3062
0 3657 1293
0 1344 3157
0 2476 3742
1 312 3454
0 4168 291
0 1615 2940
0 223 3048
0 2639 3639
1 3714 4348
0 126 2843
1 2952 4247
0 1502 812
0 197 4438
0 389 1663
0 952 3579
1 4429 4804
1 4678 3105
1 1580 889
0 3861 4880
0 151 2970
0 120 4873
0 3387 1620
0 1193 3682
1 3752 2719
0 1360 1924
0 4786 3808
0 2573 3891
1 4980 1152
0 1300 1214
1 1495 4655
0 4022 2475
0 3060 4376
0 2840 254
0 3109 4072
0 2566 146
1 1898 3105
