3000 6000
0 407 2162
0 2738 2638
0 2388 1973
1 2388 1973
1 2738 2638
1 407 2162
0 1236 180
1 1236 180
0 637 1300
0 2104 1002
0 692 2759
0 224 258
0 2599 2992
0 1660 2750
0 2935 1139
1 2599 2992
1 1660 2750
1 224 258
0 649 621
0 2711 1010
0 169 119
1 637 1300
1 169 119
0 2264 997
0 722 1800
0 348 776
1 692 2759
0 1839 1708
1 722 1800
0 563 756
0 1726 538
0 2112 2678
0 358 35
0 1665 456
1 563 756
0 2705 1332
1 2104 1002
0 1747 1141
0 2453 325
1 2711 1010
0 2218 357
0 2513 297
0 19 1109
1 1747 1141
1 1839 1708
1 2935 1139
0 1073 642
1 2112 2678
0 2589 440
1 1726 538
0 2213 2321
1 2218 357
0 1831 390
0 976 2160
0 2821 1140
0 812 2432
0 188 1675
0 1206 1112
1 1206 1112
0 1363 2393
0 2446 1620
0 282 2822
1 2213 2321
0 1559 1298
1 2705 1332
0 346 1469
0 1566 2999
0 128 965
0 2405 946
0 213 214
0 2424 1362
0 214 2584
0 1662 2227
0 1771 1016
0 2035 2801
1 358 35
0 1150 1222
0 838 620
0 2045 1990
0 1207 412
1 1665 456
1 1363 2393
1 1662 2227
0 618 1974
0 1957 1775
0 2754 2848
0 2967 609
0 882 232
0 2852 2012
1 838 620
0 129 1720
0 487 2558
0 2085 2333
0 773 2924
1 649 621
0 374 2102
0 2017 1416
1 2424 1362
0 2782 1776
1 1831 390
0 706 124
0 515 2860
0 283 2119
0 1223 518
0 1506 1828
0 2016 2970
1 346 1469
0 405 203
0 259 2838
0 699 1139
0 819 847
0 2635 1243
1 2035 2801
1 773 2924
0 657 2051
0 1376 2178
0 2078 2630
1 699 1139
0 1230 1373
1 348 776
0 1245 1934
0 685 930
1 1073 642
0 2374 2416
0 569 2113
1 2017 1416
1 1957 1775
1 2589 440
0 2992 295
1 19 1109
0 122 1149
0 1712 1325
0 2267 1461
1 882 232
1 2085 2333
0 2933 1428
1 1376 2178
1 1230 1373
0 2380 2875
0 1431 613
0 2258 279
1 2374 2416
1 2992 295
1 2258 279
0 1081 960
0 1936 1580
0 605 2595
1 976 2160
0 40 79
1 259 2838
0 2175 191
1 2380 2875
0 900 1817
1 213 214
0 2832 2940
0 1010 2253
1 1223 518
1 122 1149
0 614 2154
1 819 847
0 534 2743
0 1016 1605
0 854 1559
0 2514 1799
0 144 2073
0 205 2601
0 1050 359
0 743 1069
0 2740 580
0 1604 2138
0 2325 2706
0 2251 650
0 2015 2777
0 644 1005
0 489 1056
0 1270 2920
1 2453 325
0 2662 2879
0 2728 153
0 2106 1314
0 2599 3
1 569 2113
0 2492 2809
0 2806 877
1 1270 2920
1 1150 1222
1 2045 1990
0 2148 2174
0 476 2759
0 1383 39
0 71 652
0 1968 2620
0 1855 514
0 2507 2696
0 965 1364
0 1469 685
0 482 215
1 214 2584
1 2806 877
1 1207 412
0 358 423
1 1383 39
0 2683 2016
0 295 2395
1 2821 1140
1 1081 960
1 128 965
0 2325 2014
0 886 463
0 2965 800
0 2948 1801
0 627 1199
1 1855 514
0 2458 2136
0 559 2284
0 867 2436
0 2743 1554
1 2740 580
0 2339 200
0 539 824
1 2743 1554
1 2078 2630
1 2852 2012
0 102 324
0 2217 2934
0 2808 1474
0 2182 219
0 2702 2895
0 972 1130
0 784 2839
0 1279 144
0 923 2404
0 214 2332
0 2453 1335
0 1985 2627
1 534 2743
0 107 1238
0 1804 178
0 1520 1011
1 358 423
1 374 2102
1 2507 2696
1 2405 946
1 2832 2940
0 60 1266
0 1803 1635
0 188 1254
1 283 2119
0 2605 2110
1 487 2558
0 1377 2851
0 301 1490
0 1828 1727
0 1546 2066
1 2782 1776
0 2283 2009
0 724 2803
1 2635 1243
1 2967 609
0 1601 1170
0 1476 166
0 1328 355
0 2008 244
1 1245 1934
0 789 1870
0 1979 417
0 1693 2764
1 144 2073
1 2182 219
0 2741 2278
0 377 124
1 1712 1325
0 2329 1322
0 918 1621
0 411 1841
0 1060 2030
0 2413 1056
1 2148 2174
1 1936 1580
0 711 750
1 2329 1322
1 515 2860
0 1817 376
0 2028 845
0 747 2550
1 706 124
0 749 243
0 2197 249
0 1487 1409
1 685 930
0 1961 1852
0 706 1713
0 1733 2434
0 772 237
0 150 939
0 154 998
1 854 1559
0 1254 1357
1 71 652
1 2028 845
0 1803 494
0 1217 95
0 1976 1091
0 2491 1054
0 1367 1572
0 544 400
0 515 606
1 1016 1605
0 1548 1798
0 142 87
0 328 2154
1 2217 2934
0 2107 2588
0 912 2826
1 784 2839
1 627 1199
0 1131 1673
0 1221 2962
0 1713 648
0 1572 916
0 1896 1579
0 77 1788
1 1828 1727
1 2325 2706
0 2652 251
0 2882 2777
0 178 1566
1 1217 95
0 677 89
0 2517 1820
1 2965 800
0 2395 514
0 422 1565
0 2091 698
0 816 1725
0 2533 1616
0 1010 870
0 2097 1739
0 2914 520
0 2217 526
0 2816 1068
0 778 2399
0 2253 2637
1 214 2332
0 2648 512
0 265 1985
1 2175 191
0 2162 1062
1 918 1621
0 117 19
1 2933 1428
0 2166 1510
0 421 2216
0 1560 184
1 1979 417
1 2253 2637
0 2834 2278
1 1566 2999
0 2230 653
0 647 3000
0 2242 816
0 2201 930
0 2246 2125
0 1538 2913
0 1972 626
0 762 2589
0 1368 1017
1 515 606
1 2754 2848
1 677 89
0 2813 2303
0 1971 907
0 1655 150
0 2938 2954
0 438 1065
0 1856 945
0 700 2919
0 326 1189
1 657 2051
1 1254 1357
1 405 203
1 1771 1016
1 2446 1620
1 2491 1054
1 117 19
0 1776 45
0 288 1190
1 2683 2016
0 1348 2346
0 2717 763
0 1164 1914
0 1277 280
0 829 231
0 26 162
0 1719 2558
0 2497 2168
1 2599 3
1 2948 1801
1 2230 653
0 1011 1926
1 2267 1461
1 539 824
0 271 2243
0 2300 2521
0 2797 2788
0 1583 2464
0 2219 425
1 295 2395
0 914 2746
0 1040 605
1 1548 1798
1 2514 1799
1 1601 1170
0 945 93
0 948 2483
1 1560 184
0 1406 204
0 2783 130
0 1290 1795
0 2905 725
0 2986 760
0 2826 2804
0 249 1869
0 2161 2847
0 1906 991
1 2015 2777
0 1605 2605
1 1733 2434
0 208 39
0 635 1693
0 1135 939
0 887 2325
0 514 2903
0 533 1082
0 1831 477
1 2413 1056
0 2101 1917
0 1488 2615
0 1598 579
0 413 333
0 2434 2625
0 2348 126
1 2008 244
0 624 2424
1 2219 425
0 1027 1031
0 168 2105
0 2905 583
0 1874 234
0 587 2909
1 1060 2030
0 985 1566
0 782 2121
0 1109 2518
0 1829 632
1 328 2154
1 1968 2620
1 1487 1409
0 2195 2998
0 2421 1125
1 900 1817
0 1289 449
1 413 333
1 1050 359
0 1998 1689
1 972 1130
0 2173 1184
0 2557 1521
0 1147 2583
1 2395 514
0 2519 1713
1 700 2919
0 624 2374
1 867 2436
1 2107 2588
0 717 1781
0 303 2818
0 2049 2380
0 836 2276
1 1010 2253
0 2051 63
0 233 2131
0 2666 2775
0 1399 284
0 1538 1621
0 2413 1280
1 1719 2558
0 574 486
1 985 1566
0 2578 2941
1 1598 579
0 2543 254
0 584 1769
0 2807 2201
1 2914 520
0 1676 76
1 1655 150
0 1169 1413
1 945 93
0 1334 2841
0 295 1327
1 2662 2879
0 1103 993
0 1457 814
0 849 578
0 2581 1050
0 1059 2059
0 2133 1209
1 1221 2962
0 2774 2860
1 1109 2518
1 587 2909
1 965 1364
0 2329 2728
0 661 1140
0 494 473
0 2216 2517
0 822 1104
0 904 2614
1 1693 2764
1 77 1788
0 833 2109
0 264 1972
0 195 2137
0 2438 260
0 401 2900
0 2780 2231
0 1907 661
1 2808 1474
0 926 2678
1 724 2803
1 2246 2125
1 2329 2728
0 2734 334
0 2649 976
0 1774 1143
1 142 87
0 567 2640
0 1756 1389
1 326 1189
0 94 2657
1 1334 2841
0 1230 682
1 661 1140
1 762 2589
1 2097 1739
1 2797 2788
0 2417 1127
0 2834 2730
0 1734 166
1 2905 583
0 1910 747
1 822 1104
0 2733 507
0 1286 193
0 1898 337
0 2430 2399
1 2325 2014
0 706 543
0 1426 1090
1 2051 63
0 964 1010
0 1738 1266
0 1828 2506
0 2682 782
0 879 1895
1 2702 2895
1 2166 1510
0 1099 1973
0 296 2100
0 2266 1689
1 2605 2110
0 652 1746
0 2380 335
1 1520 1011
0 2371 637
0 1773 2339
0 1932 1060
0 1076 436
0 2491 2371
1 2807 2201
0 2775 2688
1 624 2374
0 2827 187
0 726 140
0 707 1928
1 711 750
1 2497 2168
0 1954 899
0 1770 2314
0 2852 1709
0 417 1569
0 2175 517
0 1497 2925
1 726 140
0 981 1059
0 2065 143
1 1328 355
0 1593 2663
1 1131 1673
0 2808 749
0 2193 2796
1 1605 2605
1 747 2550
0 2098 180
0 1000 1112
0 220 1859
1 2161 2847
0 1262 1979
1 1059 2059
1 288 1190
0 1720 1665
0 845 1333
0 1826 2280
1 926 2678
0 179 2041
1 1262 1979
1 2430 2399
1 2783 130
1 1099 1973
1 168 2105
0 32 743
0 1524 1862
0 2479 1010
1 1399 284
1 2517 1820
0 1714 1827
0 1169 1450
0 1578 1452
0 2515 2711
0 302 1577
0 1867 2203
0 2754 2245
1 107 1238
1 2434 2625
1 482 215
0 405 479
1 772 237
1 1976 1091
0 2087 2775
0 2224 369
0 1363 2327
0 341 46
1 2162 1062
0 2087 330
0 215 2082
0 1825 1365
1 1469 685
0 2837 2653
0 144 1651
1 948 2483
0 1205 31
0 2033 360
0 2689 2501
0 1262 1342
0 1393 2152
0 492 1381
0 1017 1821
0 379 435
0 1437 935
1 2201 930
0 89 1504
0 1517 1477
0 693 1458
0 2920 437
0 1911 1573
0 2691 639
0 1075 1423
0 1416 840
1 2648 512
1 2728 153
0 1279 1901
0 2231 2545
0 1654 2759
0 2380 2174
1 102 324
1 341 46
1 886 463
0 1123 2899
0 38 1637
0 1349 2026
1 816 1725
0 554 2064
1 1040 605
0 2211 425
0 2011 2587
1 1488 2615
0 2004 2658
1 1604 2138
0 2255 622
0 2610 1432
0 1597 846
0 1021 1061
0 489 2737
0 403 2454
0 584 66
0 177 1066
0 6 699
0 1290 1386
0 981 2984
0 1115 209
0 2008 2164
0 2047 357
0 2359 1286
0 185 669
1 923 2404
0 569 1520
0 2149 1877
0 1741 2863
0 1180 2267
0 1554 1762
0 2833 1109
0 2543 2881
0 481 2494
0 864 1918
0 2342 2697
0 1321 1659
0 1297 2584
1 1867 2203
1 150 939
1 2492 2809
0 1764 958
1 481 2494
1 1559 1298
0 2622 2026
1 706 1713
1 778 2399
0 1583 364
0 2447 2551
0 2245 1617
0 2937 1046
1 60 1266
0 1689 1445
0 762 1658
0 272 2655
1 1377 2851
0 2748 2865
0 2804 1945
1 2513 297
0 2074 134
0 2996 629
1 188 1675
0 2158 2258
0 2882 1298
0 2591 1534
1 812 2432
1 1076 436
0 2176 340
1 249 1869
0 1971 2578
1 887 2325
0 1026 687
1 1115 209
0 2993 2486
1 1027 1031
1 2300 2521
0 2593 1485
1 2937 1046
1 559 2284
0 1803 2416
0 1239 689
0 2930 340
0 2435 963
