100 200
0 4 9
0 10 2
0 65 80
1 65 80
0 11 69
0 56 5
1 4 9
0 37 30
0 39 28
0 29 6
0 11 72
1 11 69
0 25 60
1 11 72
0 40 18
0 82 40
0 43 68
0 45 81
0 9 60
1 56 5
1 9 60
0 41 30
0 48 89
0 21 79
0 77 68
0 61 54
0 59 12
1 61 54
1 45 81
0 6 2
0 34 16
0 79 81
0 13 51
0 13 83
0 83 42
0 4 53
1 6 2
0 67 45
0 20 18
1 41 30
0 19 88
0 40 22
0 35 97
0 10 9
1 40 18
0 84 77
0 51 47
1 13 83
0 16 51
0 8 82
1 48 89
0 9 92
0 68 58
0 14 38
1 39 28
0 48 16
0 5 9
0 72 8
0 43 46
0 3 61
0 61 25
0 26 100
1 43 68
0 40 41
0 71 94
0 4 32
0 78 89
1 14 38
0 8 12
1 72 8
0 85 95
0 97 41
0 68 69
0 56 99
1 8 82
1 82 40
1 25 60
0 42 65
0 43 9
0 34 8
0 79 69
0 6 16
0 87 27
1 84 77
1 97 41
0 78 16
0 47 48
0 72 46
1 3 61
0 92 23
1 29 6
0 52 19
0 9 70
0 79 36
0 51 45
1 67 45
0 31 22
0 2 50
0 92 76
0 14 44
0 80 35
0 41 69
0 54 67
0 8 28
1 8 12
1 78 89
0 59 82
1 92 23
0 60 20
1 71 94
0 5 64
0 78 2
1 60 20
0 100 16
0 92 75
1 52 19
0 15 96
1 13 51
0 19 66
0 14 26
0 70 6
0 13 58
0 72 30
0 91 82
1 5 64
0 30 13
0 24 29
0 81 56
1 61 25
0 56 22
0 80 38
0 64 30
1 6 16
1 4 32
0 29 51
0 36 34
0 72 17
0 79 39
1 5 9
0 60 78
1 72 46
0 19 76
1 59 12
0 78 83
0 17 24
0 50 7
0 7 72
0 6 65
0 9 48
0 6 68
1 19 88
1 50 7
0 85 80
0 62 15
0 25 99
1 43 46
0 80 62
0 88 48
0 84 54
0 24 69
0 21 26
0 22 29
0 7 63
0 12 24
0 91 11
1 8 28
0 70 96
1 85 80
0 26 83
0 74 50
0 10 71
0 94 45
0 15 94
1 64 30
0 16 64
0 99 80
1 83 42
0 18 13
0 59 31
0 32 68
0 94 58
0 87 45
0 38 96
0 41 5
0 1 46
1 79 69
1 9 70
0 10 34
1 92 76
1 78 2
1 10 34
0 64 82
1 80 38
0 65 57
1 21 79
0 91 69
0 19 5
1 48 16
1 78 16
0 40 86
